order_ID,address_Line_1,address_Line_2,city,state,postcode,country,card_Number,expiry_Date,cvv
OXFB3D,123,123,123,123,123,Malaysia,1111,11/12,123
ORQJ9D,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,7412,10/29,753
OG5INI,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,8654,10/29,745
O4XDTY,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,1236,10/29,753
O6LL4A,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,1326,10/29,753
ONQX13,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,1369,10/29,743
OFD5L6,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,9632,10/26,743
OJYYDU,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,1425,10/27,753
ONQH1T,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,4268,10/27,753
OHIGA4,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,4152,10/29,963
OA49NF,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,4152,10/27,846
OLD4M7,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,5236,10/26,786
OT1HSE,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,6932,10/29,463
OGBN5G,"Lot 1022, Persiaran Dataran 1, College Height Garden Resort",,Pajam,Negeri Sembilan,71700,Malaysia,2514,10/29,453
